BLENDS,PICTURE,,MISSING
act,X,,bling
ant,X,,blink
band,X,,blush
belt,X,,bribe
bench,X,,bride
bend,X,,bring
bent,X,,brink
best,X,,broke
black,X,,bunch
blade,X,,clang
blame,X,,clank
blank,X,,Clark
bling,,,cling
blink,,,clink
block,X,,clone
blurt,X,,clonk
blush,,,close
brake,X,,clove
brave,X,,clung
bribe,,,clunk
brick,X,,crash
bride,,,crave
bring,,,crock
brink,,,crude
broke,,,depth
broth,X,,Drake
brush,X,,drape
bump,X,,drink
bunch,,,drunk
bunt,X,,felt
camp,X,,first
chest,X,,flack
chimp,X,,flake
chomp,X,,flame
chunk,X,,flank
clam,X,,fleck
clang,,,fled
clank,,,flesh
clap,X,,fling
Clark,,,fluke
clash,X,,flung
class,X,,flunk
click,X,,froth
cliff,X,,Glen
clinch,X,,glute
cling,,,grate
clink,,,grave
clip,X,,grove
clock,X,,helm
clone,,,hemp
clonk,,,hunch
close,,,kept
cloth,X,,lend
clove,,,lent
cluck,X,,munch
clung,,,pelt
clunk,,,plane
crab,X,,plank
crack,X,,prank
cram,X,,prep
crane,X,,pride
crash,,,prime
crate,X,,probe
crave,,,prone
crime,X,,prong
croc,X,,prune
crock,,,scape
crude,,,scar
crunch,X,,scarf
crush,X,,scorn
depth,,,self
desk,X,,shift
Drake,,,shrink
drank,X,,shrug
drape,,,skirt
dress,X,,skunk
drink,,,slack
drip,X,,slang
drive,X,,sling
drone,X,,slink
drop,X,,slung
drove,X,,slunk
drum,X,,slush
drunk,,,smart
dump,X,,smash
dusk,X,,Smith
felt,,,snort
filth,X,,spade
first,,,spark
fist,X,,spine
flack,,,spite
flag,X,,spore
flake,,,spork
flame,,,sprung
flank,,,spunk
flash,X,,spurn
fleck,,,spurt
fled,,,stake
flesh,,,stall
flick,X,,stank
flinch,X,,stark
fling,,,start
flock,X,,stash
fluke,,,stern
flume,X,,stink
flung,,,stir
flunk,,,stock
flush,X,,stoke
flute,X,,stole
frame,X,,stork
fresh,X,,stove
frog,X,,strong
froth,,,strung
gift,X,,stung
glad,X,,stunk
glass,X,,swore
glaze,X,,tend
Glen,,,thrash
glide,X,,thrift
globe,X,,thrive
glute,,,throb
golf,X,,tribe
grab,X,,trove
grad,X,,trunk
grade,X,,welt
gram,X,,west
grape,X,,whack
grass,X,,whomp
grate,,,
grave,,,
graze,X,,
grin,X,,
grove,,,
gulp,X,,
hand,X,,
held,X,,
helm,,,
help,X,,
hemp,,,
hump,X,,
hunch,,,
hunt,X,,
jump,X,,
kept,,,
lamp,X,,
land,X,,
left,X,,
lend,,,
lent,,,
lift,X,,
list,X,,
lost,X,,
lunch,X,,
mask,X,,
mast,X,,
melt,X,,
milk,X,,
mint,X,,
munch,,,
nest,X,,
pelt,,,
pest,X,,
pinch,X,,
plan,X,,
plane,,,
plank,,,
plate,X,,
pluck,X,,
plug,X,,
plum,X,,
plus,X,,
plush,X,,
pond,X,,
prank,,,
prep,,,
pride,,,
prime,,,
prize,X,,
probe,,,
prone,,,
prong,,,
prune,,,
pulp,X,,
pump,X,,
punch,X,,
punt,X,,
ramp,X,,
rant,X,,
rest,X,,
sand,X,,
scale,X,,
scan,X,,
scape,,,
scar,,,
scarf,,,
scope,X,,
score,X,,
scorn,,,
self,,,
send,X,,
sent,X,,
shift,,,
shore,X,,
short,X,,
shred,X,,
shrink,,,
shrug,,,
silk,X,,
skate,X,,
skip,X,,
skirt,,,
skit,X,,
skunk,,,
slab,X,,
slack,,,
slang,,,
slash,X,,
slate,X,,
sled,X,,
slick,X,,
slide,X,,
slime,X,,
sling,,,
slink,,,
slip,X,,
slob,X,,
slope,X,,
sloth,X,,
slug,X,,
slung,,,
slunk,,,
slurp,X,,
slush,,,
smack,X,,
small,X,,
smart,,,
smash,,,
smile,X,,
Smith,,,
smock,X,,
smog,X,,
smoke,X,,
snack,X,,
snake,X,,
snap,X,,
snip,X,,
snore,X,,
snort,,,
snug,X,,
soft,X,,
spade,,,
spark,,,
speck,X,,
sped,X,,
spike,X,,
spill,X,,
spin,X,,
spine,,,
spit,X,,
spite,,,
spoke,X,,
spore,,,
spork,,,
sport,X,,
spot,X,,
sprung,,,
spun,X,,
spunk,,,
spurn,,,
spurt,,,
stack,X,,
stake,,,
stale,X,,
stall,,,
stank,,,
star,X,,
stark,,,
start,,,
stash,,,
state,X,,
stem,X,,
step,X,,
stern,,,
stick,X,,
stink,,,
stir,,,
stock,,,
stoke,,,
stole,,,
stone,X,,
stop,X,,
store,X,,
stork,,,
storm,X,,
stove,,,
strong,,,
strung,,,
stuck,X,,
stun,X,,
stung,,,
stunk,,,
swam,X,,
swig,X,,
swim,X,,
swing,X,,
swipe,X,,
swish,X,,
swore,,,
task,X,,
temp,X,,
tend,,,
tenth,X,,
test,X,,
theft,X,,
thorn,X,,
thrash,,,
thrift,,,
thrive,,,
throb,,,
thump,X,,
track,X,,
tram,X,,
trap,X,,
trash,X,,
tribe,,,
trick,X,,
trot,X,,
trove,,,
truck,X,,
trunk,,,
tusk,X,,
vent,X,,
vest,X,,
welt,,,
wept,X,,
west,,,
whack,,,
whisk,X,,
whomp,,,
wind,X,,
yelp,X,,
